as_of,name,tweet_volume
2020-11-01T09:04:07Z,Donald Trump,4587490
2020-11-01T10:05:09Z,Donald Trump,4593747
2020-11-01T19:14:41Z,Joe Biden,3046001
2020-11-01T20:15:46Z,Joe Biden,2957175
2020-11-01T21:17:02Z,Joe Biden,2997521
2020-11-01T22:18:06Z,Joe Biden,2068921
2020-11-01T23:19:10Z,Joe Biden,1227203
2020-11-02T00:20:12Z,Joe Biden,1435953
2020-11-02T01:21:16Z,Joe Biden,1630661
2020-11-02T02:22:23Z,Joe Biden,1806032
2020-11-02T03:23:30Z,Joe Biden,2010895
2020-11-02T04:24:37Z,Joe Biden,3348908
2020-11-02T05:25:40Z,Joe Biden,3383324
2020-11-02T06:26:43Z,Joe Biden,3408815
2020-11-02T07:27:44Z,Donald Trump,4213315
2020-11-02T08:28:45Z,Donald Trump,2786832
2020-11-02T09:29:47Z,Donald Trump,1794428
2020-11-02T09:29:47Z,Joe Biden,3428713
2020-11-02T10:30:49Z,Donald Trump,1222089
2020-11-02T10:30:49Z,Joe Biden,3424255
2020-11-02T11:31:52Z,Donald Trump,1308779
2020-11-02T11:31:52Z,Joe Biden,3415797
2020-11-03T02:47:59Z,Joe Biden,1244966
2020-11-03T03:49:06Z,Donald Trump,2040733
2020-11-03T04:50:12Z,Donald Trump,2391186
2020-11-03T04:50:12Z,Joe Biden,1291576
2020-11-03T05:51:14Z,Donald Trump,2571203
2020-11-03T05:51:14Z,Joe Biden,1447965
2020-11-03T06:52:16Z,Donald Trump,2547473
2020-11-03T07:53:17Z,Donald Trump,1934403
2020-11-03T08:54:19Z,Donald Trump,2308954
2020-11-03T09:55:22Z,Donald Trump,2033828
2020-11-03T11:57:28Z,Donald Trump,6255654
2020-11-03T12:58:33Z,Donald Trump,5691104
2020-11-03T12:58:33Z,Donald Trump,1116273
2020-11-03T13:59:36Z,Donald Trump,1634406
2020-11-03T15:00:41Z,Donald Trump,1545943
2020-11-03T16:01:45Z,Donald Trump,2021638
2020-11-03T16:01:45Z,Donald Trump,1158771
2020-11-03T17:02:51Z,Donald Trump,1998394
2020-11-03T17:02:51Z,Joe Biden,1169780
2020-11-03T18:03:56Z,Donald Trump,1820111
2020-11-03T18:03:56Z,Joe Biden,1249829
